date,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/16/2018,Drift,B,6.00,150,11:00,12:20,30.00,1,0,0,0,0
6/16/2018,Drift,B,6.00,150,10:00,12:23,20.00,2,1,0,0,0
6/16/2018,Drift,C,6.00,150,10:00,13:17,120.00,4,0,1,0,0
6/16/2018,Drift,B,5.50,150,11:30,13:20,30.00,0,0,0,0,0
6/16/2018,Drift,C,5.75,150,9:30,13:27,180.00,3,11,0,0,1
6/16/2018,Drift,C,6.00,150,10:00,13:47,135.00,4,3,0,0,0
6/16/2018,Drift,C,5.75,150,12:00,13:55,90.00,0,0,0,0,0
6/16/2018,Drift,C,5.50,150,10:15,14:00,120.00,6,4,2,2,2
6/16/2018,Drift,C,6.00,150,10:00,14:03,150.00,6,0,0,0,0
6/16/2018,Drift,C,6.00,150,11:00,14:16,120.00,6,0,0,0,0
6/16/2018,Drift,C,6.00,150,11:00,14:23,150.00,0,0,0,0,0
6/16/2018,Drift,C,6.00,150,13:00,14:25,120.00,1,0,0,0,0
6/16/2018,Drift,C,5.00,150,12:30,14:30,60.00,0,0,0,0,0
6/16/2018,Drift,C,6.00,150,10:00,15:01,125.00,5,2,0,0,0
6/16/2018,Drift,B,6.00,150,12:40,15:03,60.00,6,5,0,1,0
6/16/2018,Drift,B,6.00,150,10:30,15:25,180.00,2,5,0,0,0
6/16/2018,Drift,A,5.75,150,10:00,15:30,60.00,3,1,0,0,0
6/16/2018,Drift,C,6.00,150,13:00,15:40,150.00,4,1,0,6,0
6/16/2018,Drift,B,5.50,150,13:00,15:51,135.00,1,1,0,0,0
6/16/2018,Drift,C,5.50,150,10:30,15:53,120.00,4,2,2,0,0
6/16/2018,Drift,C,5.50,150,13:00,15:58,60.00,0,0,1,0,0
6/16/2018,Drift,A,5.50,100,10:30,16:00,150.00,6,2,0,1,0
6/16/2018,Drift,C,5.75,150,18:00,21:43,90.00,1,1,1,0,0
6/16/2018,Drift,C,4.75,80,15:00,21:50,90.00,3,0,6,2,1
6/16/2018,Drift,C,5.25,50,20:00,21:55,60.00,0,0,0,0,0
6/16/2018,Drift,C,6.00,150,19:00,22:05,120.00,0,0,0,0,0
6/16/2018,Drift,C,5.50,150,14:00,22:05,60.00,0,0,0,0,0
6/16/2018,Set,C,4.00,60,12:00,21:30,570.00,15,0,0,1,8
6/16/2018,Drift,C,6.00,150,12:00,16:23,60.00,1,1,0,0,0
6/16/2018,Drift,B,5.50,150,10:00,16:29,90.00,13,1,2,0,0
6/16/2018,Drift,B,6.00,150,11:00,16:49,240.00,12,2,4,1,0
6/16/2018,Drift,C,5.50,150,10:00,16:55,90.00,10,15,0,4,0
6/16/2018,Drift,B,5.50,150,12:00,17:29,270.00,9,5,0,0,1
6/16/2018,Drift,C,6.00,150,9:30,17:32,300.00,5,0,0,0,0
6/16/2018,Drift,C,6.00,150,10:00,17:35,240.00,20,3,1,1,0
6/16/2018,Drift,C,6.00,150,13:30,19:52,225.00,6,4,0,0,0
6/16/2018,Drift,C,6.00,150,7:00,20:03,90.00,0,1,0,0,0
6/16/2018,Drift,C,6.00,150,16:00,20:16,180.00,3,3,1,0,0
6/16/2018,Drift,A,6.00,300,9:00,20:31,225.00,6,5,0,0,0
6/16/2018,Drift,B,4.00,150,17:00,20:51,60.00,4,1,0,0,0
6/16/2018,Drift,C,5.25,150,15:00,21:19,300.00,3,4,0,0,2
6/16/2018,Drift,C,6.00,150,10:00,18:40,210.00,11,3,0,0,0
6/16/2018,Drift,C,6.00,150,12:00,18:44,390.00,0,0,0,0,0
6/16/2018,Drift,C,6.00,150,10:00,18:49,225.00,10,11,0,0,1
6/16/2018,Drift,C,6.00,150,14:00,19:11,450.00,0,2,0,0,0
6/16/2018,Drift,C,6.00,150,16:00,19:13,30.00,4,0,4,0,0
6/16/2018,Drift,C,6.00,90,11:00,16:21,240.00,3,2,0,1,0
6/16/2018,Drift,C,6.00,150,13:00,16:36,105.00,0,4,0,0,0
6/16/2018,Drift,A,6.00,150,13:00,16:43,225.00,1,2,0,0,0
6/16/2018,Drift,C,6.00,150,15:00,16:50,60.00,0,2,0,0,0
6/16/2018,Drift,C,6.00,150,9:30,16:57,180.00,7,4,0,0,1
6/16/2018,Drift,C,6.00,150,11:30,17:06,120.00,5,1,1,1,0
6/16/2018,Drift,A,5.25,300,11:00,17:10,180.00,4,3,0,0,0
6/16/2018,Drift,C,6.00,150,14:00,17:27,200.00,3,0,0,0,1
