date,stratum,soak.hrs,gear,length,chinook,chum,sockeye,sheefish,whitefish
6/16/2018,C,0.5,drift,150,3,0,1,0,0
6/16/2018,C,0.75,drift,150,6,4,0,0,0
6/16/2018,B,0.25,drift,150,1,0,0,0,0
6/16/2018,B,0.166666667,drift,150,0,0,0,0,0
6/16/2018,C,1,drift,150,4,1,0,0,0
6/16/2018,B,1,drift,150,6,0,0,0,0
6/16/2018,B,0.5,drift,150,0,1,0,0,0
6/16/2018,C,1.5,drift,150,6,5,0,0,0
6/16/2018,C,1,drift,150,4,0,0,0,0
6/16/2018,C,1.5,drift,150,10,1,0,0,0
6/16/2018,C,1.25,drift,150,28,10,2,0,0
6/16/2018,D1,1.5,drift,150,2,8,0,0,0
6/16/2018,D1,1.5,drift,150,3,5,0,0,0
6/16/2018,C,1,drift,150,1,0,0,0,0
6/16/2018,C,0.166666667,drift,150,0,0,0,0,0
6/16/2018,C,3,drift,150,30,2,0,0,0
6/16/2018,C,0.166666667,drift,150,0,0,0,0,0
6/16/2018,C,3.333333333,drift,150,18,4,0,0,0
6/16/2018,C,1.666666667,drift,150,0,0,0,0,0
6/16/2018,C,3,drift,150,5,2,0,0,0
6/16/2018,A,1.5,drift,300,7,2,0,0,0
6/16/2018,A,1.5,drift,300,5,6,0,0,0
6/16/2018,A,4,drift,300,6,7,0,0,0
6/16/2018,A,3,drift,200,1,2,0,0,0
6/16/2018,A,1.5,drift,200,12,13,0,0,0
6/16/2018,A,0.5,drift,200,2,3,0,0,0
6/16/2018,A,1.5,drift,200,10,2,2,0,0
6/16/2018,A,0.5,drift,300,1,0,0,0,0
6/16/2018,A,4,drift,300,3,7,0,0,0
6/16/2018,A,0.666666667,drift,300,2,0,0,0,0
6/16/2018,A,0.5,drift,300,0,0,0,0,0
6/16/2018,A,1,drift,300,1,0,0,0,0
6/16/2018,A,0.75,drift,300,1,0,0,0,0
6/16/2018,A,1,drift,300,9,9,0,0,0
6/16/2018,A,0.333333333,drift,300,7,5,0,0,0
6/16/2018,A,0.5,drift,300,2,1,0,0,0
6/16/2018,A,1,drift,150,10,0,1,0,0
6/16/2018,A,0.75,drift,150,2,0,0,0,0
6/16/2018,A,0.333333333,drift,300,3,0,2,0,0
6/16/2018,A,0.25,drift,300,7,4,0,0,0
6/16/2018,A,3,drift,300,6,14,0,0,0
6/16/2018,A,4.5,drift,300,9,6,0,0,0
