date,stratum,trip.start,trip.end,soak.hrs,length,gear,mesh,chinook,chum,sockeye,sheefish,whitefish,chinook.goal,chum.goal,sockeye.goal,type,village
6/29/2018,A,10:30,16:30,0:30,300,Driftnet,6,10,150,0,0,0,4,4,1,Village,Atmautluak
6/29/2018,A,10:00,17:00,0:30,300,Driftnet,5.5,5,75,0,0,0,1,5,1,Village,Atmautluak
6/29/2018,A,12:30,16:15,1:00,225,Driftnet,5,4,40,6,0,0,5,5,5,Village,Kasigluk
6/29/2018,A,10:00,17:00,3:00,300,Driftnet,5.88,10,30,30,0,0,2,4,3,Village,Kasigluk
6/29/2018,A,11:00,14:00,1:00,300,Driftnet,5.88,4,70,16,0,0,5,5,5,Fish camp,Kasigluk
6/29/2018,A,10:30,16:00,0:30,300,Driftnet,5.63,4,100,95,0,0,3,5,3,Village,Atmautluak
6/29/2018,A,10:30,16:00,3:30,292,Driftnet,5.88,7,29,60,0,0,2,5,5,Fish camp,Kasigluk
6/29/2018,A,14:30,19:15,1:00,150,Driftnet,5.5,1,50,50,0,1,1,2,2,Village,Atmautluak
6/29/2018,A,10:30,16:30,3:30,300,Driftnet,6,2,20,19,0,0,5,5,5,Village,Kasigluk
6/29/2018,B,10:00,19:15,6:00,150,Setnet,6,5,60,0,1,0,1,1,1,Village,Atmautluak
6/29/2018,A,11:00,15:30,2:30,300,Driftnet,6,8,60,10,0,0,3,5,2,Village,Kasigluk
6/29/2018,A,10:30,14:00,1:00,300,Driftnet,5.5,4,60,20,0,0,4,5,5,Village,Kasigluk
6/29/2018,A,11:00,16:00,2:30,300,Driftnet,5.88,5,48,60,1,0,2,5,5,Village,Kasigluk
6/29/2018,A,10:30,16:30,3:30,300,Driftnet,5.5,11,40,20,0,0,4,5,5,Village,Kasigluk
6/29/2018,A,10:30,16:00,3:00,300,Driftnet,5.5,4,36,21,0,0,2,2,2,Village,Kasigluk
6/29/2018,A,9:00,19:00,3:00,300,Driftnet,5.5,3,35,40,0,0,2,4,4,Village,Kasigluk
6/29/2018,A,11:00,20:00,4:00,300,Driftnet,5.38,2,20,40,0,0,5,5,5,Village,Kasigluk
