date,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/29/2018,Drift,B,5.5,150,15:00,17:45,150,2,20,10,0,0
6/29/2018,Drift,C,5.5,150,13:00,17:00,300,2,25,15,0,0
6/29/2018,Drift,C,6,150,12:00,17:30,150,5,1,31,0,0
6/29/2018,Drift,C,5.25,150,13:48,15:00,15,2,60,4,0,0
6/29/2018,Drift,B,6,150,11:45,17:45,180,8,15,8,0,0
6/29/2018,Drift,C,6,150,12:00,15:30,160,12,8,18,0,0
6/29/2018,Drift,C,5,150,12:00,16:00,180,9,40,40,0,0
6/29/2018,Drift,C,6,150,12:13,14:00,75,5,9,7,0,0
6/29/2018,Set,C,6,150,11:30,17:45,360,3,5,20,0,0
6/29/2018,Drift,C,5.725,150,10:00,12:15,70,3,17,3,0,0
6/29/2018,Drift,C,6,150,12:00,13:30,40,0,4,9,0,0
6/29/2018,Drift,C,6,150,12:00,13:30,40,2,20,15,0,0
6/29/2018,Drift,A,5.5,300,12:00,17:00,120,1,30,2,0,0
6/29/2018,Drift,C,6,150,12:00,17:30,300,15,55,55,0,0
6/29/2018,Drift,C,6,150,15:00,16:00,60,5,1,1,0,0
6/29/2018,Drift,C,6,150,11:30,17:00,150,8,40,6,0,0
6/29/2018,Set,C,4,25,13:00,17:30,270,1,0,9,0,0
6/29/2018,Drift,C,5,150,10:00,17:00,15,14,25,22,0,0
6/29/2018,Drift,C,5.5,150,14:00,17:00,50,4,1,5,0,0
6/29/2018,Drift,C,6,150,11:45,17:20,105,5,40,20,1,0
6/29/2018,Drift,C,6,150,12:00,13:30,60,2,17,2,0,0
6/29/2018,Drift,C,5.5,150,16:00,17:45,170,11,20,35,0,0
