date,stratum,trip.start,trip.end,soak.hrs,length,gear,mesh,chinook,chum,sockeye,sheefish,whitefish,chinook.goal,chum.goal,sockeye.goal,type,village
6/12/2018,A,10:00,15:00,2:00,240,Driftnet,5.5,23,5,1,0,0,2,2,1,Village,Kasigluk
6/12/2018,A,10:00,17:30,4:00,300,Driftnet,5.125,32,13,0,0,0,2,2,1,Village,Kasigluk
6/12/2018,A,8:30,19:30,6:00,300,Driftnet,5.5,6,1,0,0,0,2,2,1,Village,Kasigluk
6/12/2018,A,8:30,19:45,8:30,300,Driftnet,5.5,21,3,2,0,0,2,2,2,Village,Kasigluk
6/12/2018,A,12:00,19:45,5:30,300,Driftnet,5.875,9,6,0,0,0,2,2,1,Village,Kasigluk
6/12/2018,A,9:45,20:00,8:00,300,Driftnet,5.5,22,9,3,0,0,2,2,2,Village,Kasigluk
6/12/2018,A,11:00,20:15,6:00,300,Driftnet,6,7,3,1,0,0,2,2,2,Village,Kasigluk
6/12/2018,A,13:00,19:30,1:15,300,Driftnet,5,13,0,6,0,0,NA,NA,NA,Village,Kasigluk
6/12/2018,A,10:30,20:00,7:30,300,Driftnet,5.875,18,1,2,0,0,NA,NA,NA,Village,Kasigluk
6/12/2018,A,10:30,20:40,1:15,35,Driftnet,6,6,3,0,0,0,NA,NA,NA,Village,Kasigluk
