date,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/12/2018,Drift,C,6,150,11:00,22:30,385,11,0,1,4,1
6/12/2018,Drift,C,5,150,10:00,20:30,540,1,0,1,2,1
6/12/2018,Set,C,6,60,10:00,17:20,450,7,0,0,0,12
6/12/2018,Drift,C,6,125,11:30,17:30,210,4,0,0,0,0
6/12/2018,Drift,C,6,150,13:00,17:00,270,2,0,0,0,0
6/12/2018,Drift,C,6,150,10:00,16:00,160,6,0,0,0,1
6/12/2018,Drift,A,5.5,300,11:30,16:00,180,9,5,0,0,0
6/12/2018,Drift,B,5.38,150,9:00,15:00,270,3,2,2,0,0
6/12/2018,Drift,C,6,150,20:00,22:40,120,0,0,0,2,0
6/12/2018,Drift,B,6,150,11:00,18:00,300,7,3,0,0,0
6/12/2018,Drift,C,5.5,150,10:30,21:30,375,19,2,1,0,0
6/12/2018,Set,C,5,50,10:30,21:30,540,6,1,0,1,2
6/12/2018,Drift,C,6,120,10:00,17:00,360,1,1,0,0,0
6/12/2018,Drift,B,6,150,14:00,22:00,360,6,1,0,0,2
6/12/2018,Drift,B,6,125,10:00,21:00,420,12,11,0,1,0
6/12/2018,Drift,C,6,150,10:00,11:30,90,1,0,1,1,0
6/12/2018,Drift,A,6,300,16:45,21:00,80,1,5,0,1,0
