date,stratum,trip.start,trip.end,soak.hrs,length,gear,mesh,chinook,chum,sockeye,sheefish,whitefish,chinook.goal,chum.goal,sockeye.goal,type,village
6/6/2018,B,12:15,15:30,3:15,60,Setnet,4,3,0,0,0,2,1,1,1,Fish camp,Napaskiak
6/6/2018,B,11:10,17:45,6:30,60,Setnet,4,3,0,0,1,3,1,1,1,Fish camp,Napaskiak
6/6/2018,B,11:15,18:50,7:30,40,Setnet,4,3,0,0,2,4,1,1,1,Village,Napaskiak
6/6/2018,D1,13:00,23:59,11:30,60,Setnet,4,0,0,1,0,5,1,1,1,Village,Akiak
6/6/2018,D1,13:00,23:59,11:30,60,Setnet,4,0,0,0,0,4,1,1,1,Village,Akiak
6/6/2018,D1,10:50,22:45,10:30,60,Setnet,4,2,0,0,0,15,1,1,1,Village,Akiak
6/6/2018,C,11:00,20:30,9:00,60,Setnet,4,1,0,0,0,2,1,1,1,Village,Kwethluk
6/6/2018,C,11:00,22:30,10:00,60,Setnet,4,0,1,0,0,0,1,1,1,Village,Kwethluk
6/6/2018,B,11:00,23:00,10:00,40,Setnet,4,5,0,0,0,14,1,1,1,Fish camp,Napaskiak
6/6/2018,B,11:00,15:30,4:15,50,Setnet,4,0,0,0,1,4,1,1,1,Fish camp,Napaskiak
