date,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/12/2020,Drift,C,6,150,6:00,17:35,695,17,2,0,0,0
6/12/2020,Drift,C,6,150,5:30,18:04,754,1,1,1,1,0
6/12/2020,Drift,C,5.5,100,6:00,16:07,607,2,0,3,1,0
6/12/2020,Drift,C,5.875,140,6:00,17:42,702,0,0,0,0,0
6/12/2020,Set,C,6,60,6:00,18:45,765,8,0,0,0,0
6/12/2020,Set,C,5.875,60,5:30,18:00,750,6,0,0,0,1
6/12/2020,Drift,C,4,60,6:00,17:18,720,3,2,0,0,0
6/12/2020,Drift,C,5.25,150,6:00,18:32,600,8,0,0,0,0
6/12/2020,Set,C,6,60,6:00,16:00,600,1,0,0,0,0
6/12/2020,Set,B,5.75,150,8:00,16:30,510,3,0,0,0,0
6/12/2020,Drift,C,5.5,150,6:00,18:04,405,10,1,4,4,0
6/12/2020,Drift,B,6,150,6:00,12:12,360,6,0,0,0,0
6/12/2020,Drift,C,6,150,12:00,17:46,360,0,0,0,0,0
6/12/2020,Drift,B,6,60,8:00,15:37,350,1,0,0,0,0
6/12/2020,Set,C,5.875,60,6:00,11:45,330,4,0,0,0,0
6/12/2020,Drift,B,5.5,140,6:25,17:15,325,10,1,2,1,1
6/12/2020,Drift,B,6,60,7:30,15:37,300,4,0,0,0,0
6/12/2020,Drift,B,5.625,150,9:00,16:15,300,1,0,0,0,0
6/12/2020,Drift,C,5.75,150,13:30,18:01,300,4,0,0,0,0
6/12/2020,Drift,C,6,100,13:00,18:14,300,3,0,0,0,0
6/12/2020,Drift,B,5.5,100,6:00,14:13,300,5,0,0,0,0
6/12/2020,Drift,C,6,150,9:00,16:35,300,6,0,0,0,0
6/12/2020,Drift,B,6,50,6:00,16:36,300,3,2,0,0,0
6/12/2020,Drift,C,6,75,8:00,17:18,300,7,1,0,0,1
6/12/2020,Drift,C,6,150,13:00,18:06,300,0,0,0,0,0
6/12/2020,Drift,C,5.5,150,6:00,18:18,300,3,0,0,0,0
6/12/2020,Drift,C,6,150,6:00,15:50,275,9,1,0,1,0
6/12/2020,Drift,C,5.25,150,6:15,15:34,270,2,0,0,0,0
6/12/2020,Drift,C,6,150,6:30,17:52,270,6,1,0,1,0
6/12/2020,Drift,B,6,150,8:00,15:25,250,4,3,1,0,0
6/12/2020,Drift,C,6,150,8:00,14:55,250,5,0,0,0,0
6/12/2020,Drift,B,6,150,5:45,15:00,250,9,0,1,0,0
6/12/2020,Set,C,5.75,150,8:00,12:52,240,2,0,0,0,0
6/12/2020,Drift,B,5.75,150,8:30,14:18,240,2,0,1,1,0
6/12/2020,Drift,B,6,120,8:15,16:15,240,5,0,0,0,0
6/12/2020,Drift,C,5.5,150,12:00,17:18,240,2,0,0,0,0
6/12/2020,Drift,A,5.75,300,13:00,18:46,240,4,0,0,0,0
6/12/2020,Drift,C,6,150,7:00,12:17,210,1,0,1,0,0
6/12/2020,Drift,C,6,150,8:00,18:41,210,6,1,0,0,0
