date,stratum,trip.start,trip.end,soak.hrs,length,gear,mesh,chinook,chum,sockeye,sheefish,whitefish,chinook.goal,chum.goal,sockeye.goal,type,village
6/12/2020,B,11:00,16:30,5:30,100,Driftnet,6,11,1,0,0,0,1,1,1,Fish camp,Napaskiak
6/12/2020,B,7:00,11:00,4:00,150,Driftnet,6,16,2,0,0,0,2,1,1,Village,Napaskiak
6/12/2020,B,7:30,12:45,5:00,150,Driftnet,6,10,3,0,0,0,2,1,1,Village,Napaskiak
6/12/2020,B,6:00,17:00,11:00,150,Driftnet,6,12,0,0,0,0,1,1,1,Village,Napaskiak
6/12/2020,B,7:50,17:50,9:15,100,Driftnet,6,24,0,0,0,0,2,1,1,Village,Napaskiak
6/12/2020,B,8:00,12:00,4:00,100,Driftnet,6,12,0,1,0,0,1,1,1,Village,Napaskiak
6/12/2020,B,9:00,10:30,1:30,100,Driftnet,6,3,0,0,0,0,1,1,1,Village,Napaskiak
6/12/2020,B,10:00,14:30,4:30,150,Driftnet,6,21,2,0,0,0,2,1,1,Village,Napaskiak
6/12/2020,A,8:30,17:00,4:15,300,Driftnet,5.875,13,4,0,0,0,1,1,1,Village,Tuntutuliak
6/12/2020,A,13:00,18:00,5:00,300,Driftnet,6,12,2,0,0,0,1,1,1,Village,Tuntutuliak
6/12/2020,A,14:00,18:00,3:00,300,Driftnet,6,5,2,0,0,0,1,1,1,Village,Tuntutuliak
6/12/2020,A,6:00,18:00,11:30,600,Driftnet,6,47,3,0,0,0,1,1,1,Village,Tuntutuliak
6/12/2020,A,6:00,18:00,11:30,600,Driftnet,6,9,4,0,0,0,1,1,1,Village,Tuntutuliak
6/12/2020,A,14:30,18:00,3:30,100,Driftnet,5.875,11,6,0,0,0,1,1,1,Village,Tuntutuliak
6/12/2020,A,15:00,18:00,2:30,100,Driftnet,5.125,9,2,0,0,0,1,1,1,Village,Tuntutuliak
6/12/2020,A,13:00,18:00,4:30,50,Driftnet,5.5,3,0,0,0,0,1,1,1,Village,Tuntutuliak
6/12/2020,A,12:00,18:00,5:00,100,Driftnet,6,12,3,0,0,0,1,1,1,Village,Tuntutuliak
6/12/2020,A,6:00,18:00,11:30,100,Driftnet,6,26,7,0,0,0,1,1,1,Village,Tuntutuliak
6/12/2020,A,14:30,18:00,3:30,65,Driftnet,5.75,8,1,0,0,0,1,1,1,Village,Tuntutuliak
6/12/2020,A,14:00,18:00,3:30,300,Driftnet,5.75,12,0,0,0,0,1,1,1,Village,Tuntutuliak
6/12/2020,A,8:30,18:00,5:30,150,Driftnet,6,8,1,0,0,1,1,1,1,Village,Tuntutuliak
6/12/2020,A,12:00,18:00,5:45,270,Driftnet,6,14,1,1,0,0,1,1,1,Village,Tuntutuliak
6/12/2020,B,7:30,18:00,10:30,150,Driftnet,5.5,23,2,1,0,1,1,1,1,Village,Napaskiak
6/12/2020,B,14:30,18:00,3:30,150,Driftnet,5.5,3,0,1,0,0,1,1,1,Village,Napaskiak
6/12/2020,B,10:30,13:30,3:00,60,Setnet,4,1,1,0,0,0,1,1,1,Village,Napaskiak
6/12/2020,B,6:30,14:00,7:30,270,Driftnet,6,4,3,1,1,0,1,1,1,Village,Napaskiak
6/12/2020,B,9:00,14:30,5:15,150,Driftnet,6,3,1,0,0,0,1,1,1,Village,Napaskiak
