date,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
6/12/2020,Drift,C,5.75,150,9:30,17:00,420,6,1,0,0,0
6/12/2020,Drift,C,6,150,8:30,16:30,200,4,0,0,0,0
6/12/2020,Set,C,5.75,100,10:00,15:00,300,7,0,0,0,0
6/12/2020,Drift,A,5.5,300,6:30,18:45,500,30,1,1,1,0
6/12/2020,Drift,B,6,150,6:00,17:20,300,11,1,1,0,0
6/12/2020,Drift,C,6,150,6:00,17:00,270,5,2,0,0,0
6/12/2020,Drift,C,6,150,8:00,18:00,400,10,2,0,0,0
6/12/2020,Drift,C,5.5,150,6:00,17:00,640,10,1,1,5,0
6/12/2020,Drift,C,5.875,150,6:00,17:45,500,4,0,2,0,0
6/12/2020,Drift,C,5.5,150,6:30,18:00,300,23,0,1,0,0
6/12/2020,Drift,B,6,150,7:00,17:00,360,0,0,1,0,0
6/12/2020,Drift,C,6,150,7:00,17:00,360,1,0,0,0,0
6/12/2020,Drift,B,6,150,6:00,17:20,300,11,1,1,0,0
6/12/2020,Set,C,6,60,6:30,18:00,600,15,0,0,0,0
6/12/2020,Drift,C,6,150,7:00,14:00,540,8,0,1,0,0
6/12/2020,Drift,C,5.5,150,7:00,17:00,270,6,0,1,2,0
6/12/2020,Set,C,5.375,40,14:00,17:00,180,0,0,0,0,0
6/12/2020,Drift,C,6,150,6:00,15:30,250,11,1,0,1,0
6/12/2020,Drift,C,5.375,150,7:00,13:30,420,0,0,0,0,0
6/12/2020,Drift,C,6,150,6:00,17:30,150,7,0,0,0,0
6/12/2020,Drift,C,5,150,6:00,16:00,320,2,0,0,0,0
6/12/2020,Drift,C,6,150,7:00,18:15,600,7,0,0,1,0
